INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
700150,AUT,2014,3911700,,
700150,AUT,2015,3941900,,
700150,BEL,2014,4316523,,
700150,BEL,2015,4323564,,
700150,BGR,2014,2826100,,
700150,BGR,2015,2866000,,
700150,BIH,2014,741828,,
700150,BIH,2015,760347.26505,,
700150,BMU,2010,34718,,
700150,BOL,2011,4735381,,
700150,BOL,2015,4465342,,
700150,BRN,2014,176049.61832,,
700150,CAN,2015,16920500,,
700150,CHE,2014,4204972,,
700150,CHL,2013,6855672,,
700150,CPV,2015,187871,,
700150,CRI,2015,1962211,,
700150,CYM,2016,38725,,
700150,CZE,2014,4721932,,
700150,CZE,2015,4770486,,
700150,DEU,2015,37424000,,
700150,DNK,2013,2363180,,
700150,DNK,2014,2393944.63000,,
700150,DOM,2013,3919805,,
700150,ECU,2013,6609419,,
700150,ECU,2015,6688632.10000,,
700150,ESP,2014,16568981,,
700150,ESP,2015,17053619,,
700150,EST,2014,582561,,
700150,EST,2015,594285,,
700150,FIN,2014,2247500,,
700150,FIN,2015,2227190,,
700150,FRA,2014,25222939,,
700150,FRA,2015,25299937,,
700150,GHA,2014,11305543,,
700150,GRC,2015,3443000,,
700150,HND,2010,2969488,,
700150,HND,2015,3239403.59598,,
700150,HRV,2015,1467768,,
700150,HUN,2014,3911304,,
700150,HUN,2015,4008205.17628,,
700150,ISL,2015,168900,,
700150,ISR,2014,3366670,,
700150,ITA,2014,21082630,,
700150,ITA,2015,21280258,,
700150,KOR,2014,23641000,,
700150,KOR,2015,23802000,,
700150,LKA,2015,7276363.34223,,
700150,LTU,2014,1247035,,
700150,LTU,2015,1256000,,
700150,LUX,2014,214972,,
700150,LUX,2015,225372,,
700150,LVA,2014,809800,,
700150,LVA,2015,825500,,
700150,MAC,2014,371800,,
700150,MAC,2015,380000,,
700150,MDA,2014,1130117,,
700150,MDA,2015,1125588,,
700150,MDV,2014,130133,,
700150,MEX,2014,44473550,,
700150,MEX,2015,45326577,,
700150,MKD,2014,651691,,
700150,MKD,2015,669857,,
700150,MLI,2014,4934346.92621,,
700150,MLI,2015,5278774,,
700150,MLT,2014,165297,,
700150,MLT,2015,173434,,
700150,MNG,2014,1067356,,
700150,MNG,2015,1067540,,
700150,MOZ,2014,9664802,,
700150,MYS,2014,13082600,,
700150,MYS,2015,13540100,,
700150,NIC,2009,2148129,,
700150,NLD,2014,7781000,,
700150,NLD,2015,7860000,,
700150,PAK,2014,43974892,,
700150,PAK,2015,44915823,,
700150,PAN,2013,1581502,,
700150,PAN,2016,1682459,,
700150,PER,2013,15411211,,
700150,PHL,2014,37522287,,
700150,PHL,2015,37617926,,
700150,PRI,2014,999831,,
700150,PRI,2015,975717.80000,,
700150,PRT,2014,4234134.91398,,
700150,PRT,2015,4272731.26803,,
700150,PRY,2010,2650605,,
700150,PSE,2014,897500,,
700150,PSE,2015,937900,,
700150,ROU,2014,8233024,,
700150,ROU,2015,8176156,,
700150,RUS,2014,66104828,,
700150,SLV,2013,2624357,,
700150,SRB,2014,2387822.84358,,
700150,SRB,2015,2428006.93218,,
700150,SVK,2014,2250700,,
700150,SVK,2015,2316700,,
700150,SWE,2014,4512360,,
700150,SWE,2015,4573493.50000,,
700150,SXM,2013,18484,,
700150,SYC,2012,0,NA,
700150,TGO,2015,1299111,,
700150,THA,2014,36667293,,
700150,THA,2015,36594486.92100,,
700150,TUR,2014,24305503,,
700150,TUR,2015,24956026.74000,,
700150,UGA,2012,13644799,,
700150,URY,2013,1560841,,
700150,VNM,2014,49840500,,
700150,VNM,2015,50058500,,
700151,AGO,2014,5385219.84000,,
700151,ARM,2014,1085954,,
700151,ARM,2015,1031994.23424,,
700151,AUT,2014,3970800,,
700151,AUT,2015,3999900,,
700151,BEL,2014,4389513,,
700151,BEL,2015,4390852,,
700151,BGR,2014,2856000,,
700151,BGR,2015,2901400,,
700151,BIH,2014,770734,,
700151,BIH,2015,785661.74323,,
700151,BMU,2010,35629,,
700151,BOL,2011,4790408,,
700151,BOL,2015,4574963,,
700151,BRA,2013,91705530,,
700151,BRN,2014,179150.92586,,
700151,CAN,2015,17251700,,
700151,CHE,2014,4290740,,
700151,CHL,2013,6963498,,
700151,CHL,2016,7920759.62582,,
700151,CPV,2015,188818,,
700151,CRI,2015,1988735,,
700151,CYM,2016,39456,,
700151,CYP,2014,351853,,
700151,CYP,2015,347276,,
700151,CZE,2014,4802874,,
700151,CZE,2015,4842403,,
700151,DEU,2014,38304900,,
700151,DEU,2015,38610900,,
700151,DNK,2013,2415581,,
700151,DNK,2014,2445935.08000,,
700151,DOM,2013,3941406,,
700151,ECU,2013,6613617,,
700151,ECU,2015,6811385.30000,,
700151,ESP,2014,16794991,,
